Date_Observed,Proposal_ID,Target_ID,ra,dec,Observation_ID,Instrument,Time_Observed,SIMBAD_Name,Source_Type
2019-02-13,A06_006,T01,53.12370799999999,-27.735364,A06_006T01_9000002720:: AUDFLs,uvit1,09:55:04,EIS-DEEP CDFS-1 J 1  171,Star
2019-02-19,T03_083,T01,207.053042,-63.274111,T03_083T01_9000002722:: MAXI J1348-630,laxpc1,21:50:00,MAXI J1348-630,Candidate_HMXB
2019-02-20,A06_006,T01,53.12370799999999,-27.735364,A06_006T01_9000002724:: AUDFLs,uvit1,01:20:00,EIS-DEEP CDFS-1 J 1  171,Star
2019-02-21,A05_094,T01,118.8554,39.18615,A05_094T01_9000002726:: mrk 382,uvit1,11:00:22,Mrk  382,Seyfert_1
2019-02-22,T03_083,T01,207.053042,-63.274111,T03_083T01_9000002728:: MAXI J1348-630,laxpc1,11:48:37,MAXI J1348-630,Candidate_HMXB
2019-02-22,A05_227,T06,54.75233299999999,29.696,A05_227T06_9000002730:: V1185 Tau,uvit1,21:14:41,V* V1185 Tau,Irregular_V*
2019-02-23,A05_199,T01,180.79005800000002,44.53133,A05_199T01_9000002732:: NGC 4051,uvit1,05:16:18,NGC  4051,Seyfert_1
2019-02-26,A05_144,T02,100.72975,55.474233,A05_144T02_9000002734:: SU Lyn,uvit1,00:37:15,V* SU Lyn,LPV*
2019-02-26,A05_072,T02,198.230417,18.169167,A05_072T02_9000002736:: NGC 5024,uvit2,14:26:46,Cl* NGC 5024    SAW V61,RRLyr
2019-02-27,A05_082,T12,216.84514199999998,20.09704,A05_082T12_9000002738:: SDSS J142722.83+200549.4,uvit1,09:58:45,2MASX J14272281+2005493,Seyfert_2
2019-02-27,A05_075,T09,230.4125,29.125,A05_075T09_9000002740:: KISSR692/698*,uvit2,16:30:11,SDSS J152140.04+290720.8,QSO
2019-02-28,T03_083,T01,207.053042,-63.274111,T03_083T01_9000002742:: MAXI J1348-630,laxpc1,09:02:23,MAXI J1348-630,Candidate_HMXB
2019-02-28,A05_075,T08,225.5375,29.746111,A05_075T08_9000002744:: KISSR615,uvit2,18:41:12,KISS F1500-4625,EmG
2019-03-01,A05_212,T07,208.457083,-17.610556,A05_212T07_9000002746:: HE 1351-1721,uvit2,10:58:59,UCAC4 362-065278,Star
